#r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4709144  69756 1964828    0    0   472   129 1307 2623 17 13 70  0  0
 0  0      0 4706240  69756 1966348    0    0     0     0  747 1123  1  2 98  0  0
17  0      0 4439884  69764 1965964    0    0     0   260 10797 21517 23 26 52  0  0
16  0      0 4615924  69780 1964852    0    0     0    32 18105 36619 56 44  0  0  0
16  0      0 4454572  69788 1964828    0    0     0    20 17535 38235 56 43  0  0  0
16  0      0 4481088  69796 1964828    0    0     0    20 17840 36811 57 43  0  0  0
16  0      0 4521768  69804 1964828    0    0     0    20 20635 43522 47 53  0  0  0
17  1      0 4535324  69812 1966204    0    0     0    20 21979 44078 50 50  0  0  0
17  0      0 4337904  69828 1966268    0    0     0    32 18755 38173 47 53  0  0  0
16  1      0 4475596  69836 1966304    0    0     0    20 16453 34038 56 44  0  0  0
15  1      0 4584080  69852 1964896    0    0     0    32 19983 42301 52 49  0  0  0
13  3      0 4528704  69860 1964832    0    0     0    20 18592 38591 54 46  0  0  0
16  0      0 4510376  69868 1964832    0    0     0    20 16064 33239 53 46  0  0  0
12  4      0 4524696  69876 1964832    0    0     0    20 17709 37208 49 51  0  0  0
16  1      0 4534772  69884 1969788    0    0     0    20 17981 38145 55 45  0  0  0
17  1      0 4342908  69892 1974200    0    0     0    20 16168 34620 56 45  0  0  0
15  1      0 4420500  69900 1970008    0    0     0    20 16481 35619 51 49  0  0  0
16  2      0 4493296  69940 1973944    0    0     0   296 18308 38955 49 51  0  0  0
19  0      0 4415216  69956 1969832    0    0     0    32 16634 36785 49 51  0  0  0
16  0      0 4465016  69964 1969788    0    0     0    20 15009 33670 47 53  0  0  0
15  2      0 4531260  69972 1969796    0    0     0    20 20016 40161 42 59  0  0  0
16  0      0 4449816  69980 1969796    0    0     0    20 20881 41222 52 48  0  0  0
19  0      0 4420056  69988 1973752    0    0     0    20 21549 43298 46 54  0  0  0
17  0      0 4520408  69996 1973612    0    0     0    20 14421 31469 55 44  0  0  0
14  2      0 4515028  70004 1977344    0    0     0    20 14948 34368 50 50  0  0  0
17  1      0 4284288  70012 1980128    0    0     0    20 16652 36318 54 46  0  0  0
15  2      0 4492352  70020 1975396    0    0     0    20 17969 36778 49 51  0  0  0
14  2      0 4389408  70028 1975392    0    0     0    20 17028 37170 55 45  0  0  0
17  0      0 4517356  70036 1975376    0    0     0    20 16596 36206 52 48  0  0  0
17  0      0 4547168  70044 1975376    0    0     0    20 16884 36813 56 44  0  0  0
17  0      0 4353820  70052 1975376    0    0     0    20 18631 38933 50 50  0  0  0
14  2      0 4440004  70060 1975376    0    0     0    20 16845 33931 50 50  0  0  0
16  0      0 4486012  70068 1975376    0    0     0    20 22771 45139 48 52  0  0  0
15  3      0 4648004  70076 1975364    0    0     0    20 18644 38000 43 57  0  0  0
16  1      0 4461968  70084 1975368    0    0     0    20 17561 37581 48 52  0  0  0
14  2      0 4426500  70100 1975368    0    0     0   136 16092 34913 54 46  0  0  0
16  0      0 4375420  70108 1975376    0    0     0    20 17609 38213 49 51  0  0  0
17  0      0 4451108  70116 1975712    0    0     0    20 13606 29468 51 49  0  0  0
19  0      0 4605332  70132 1975616    0    0     0   192 18634 37038 48 52  0  0  0
15  3      0 4388368  70204 1980920    0    0     0   436 18180 39280 48 51  0  0  0
16  1      0 4433160  70220 1975644    0    0     0    36 15975 34935 47 53  0  0  0
17  1      0 4472644  70244 1984748    0    0     0    52 16828 36301 46 54  0  0  0
16  1      0 4425372  70276 1983932    0    0     0   196 18830 39974 45 55  0  0  0
18  0      0 4372616  70284 1979452    0    0     0    20 17369 36882 54 46  0  0  0
17  0      0 4449240  70292 1979476    0    0     0    20 14460 30862 57 42  0  0  0
16  1      0 4605480  70300 1979440    0    0     0    20 17815 37203 50 50  0  0  0
15  1      0 4510348  70308 1979448    0    0     0    20 15724 31539 45 54  0  0  0
18  0      0 4565772  70324 1979456    0    0     0    52 14317 30091 58 42  0  0  0
16  0      0 4466936  70332 1979456    0    0     0    20 21317 44606 43 57  0  0  0
17  1      0 4520756  70340 1979456    0    0     0    20 19251 39467 48 52  0  0  0
16  0      0 4433792  70348 1979456    0    0     0    20 15791 33451 45 55  0  0  0
13  3      0 4491232  70356 1978940    0    0     0    20 19051 39247 56 44  0  0  0
15  1      0 4430600  70364 1978988    0    0     0    20 16488 35092 45 55  0  0  0
16  0      0 4396836  70372 1978956    0    0     0    20 16454 33128 53 47  0  0  0
15  0      0 4370756  70848 1979356    0    0   544  2048 14475 31728 48 52  0  0  0
16  0      0 4546932  70856 1979380    0    0     0    20 13391 29443 46 54  0  0  0
17  0      0 4464808  70864 1979368    0    0     0    20 16799 35883 51 49  0  0  0
16  2      0 4402068  70872 1990992    0    0     0    20 17856 40120 50 50  0  0  0
14  3      0 4433452  70880 1991036    0    0     0    20 14489 33877 57 43  0  0  0
16  0      0 4518276  70888 1991036    0    0     0    20 15923 36531 50 50  0  0  0
16  1      0 4457996  70896 1982584    0    0     0    20 17322 37704 48 52  0  0  0
20  0      0 4399016  70904 1982648    0    0     0    20 16814 38787 50 50  0  1  0
17  0      0 4507644  70912 1982648    0    0     0    20 21708 43397 45 55  0  0  0
13  4      0 4342804  70920 1986520    0    0     0    20 16440 37314 52 47  0  0  0
18  0      0 4479424  70952 1991568    0    0     0   220 17351 35726 48 51  0  0  0
12  4      0 4473288  70960 1986592    0    0     0    20 15474 35333 52 48  0  0  0
18  0      0 4477992  70968 1986712    0    0     0    20 21469 42990 50 50  0  0  0
17  2      0 4441732  71056 1990880    0    0     4   444 19105 40274 47 53  0  0  0
15  1      0 4449740  71072 1990828    0    0     0    36 17146 34556 49 50  0  2  0
17  0      0 4345892  71080 1990828    0    0     0    20 14275 30896 54 45  0  2  0
16  0      0 4546832  71088 1990828    0    0     0    20 14647 29106 55 45  0  0  0
14  3      0 4455404  71096 1990752    0    0     0    20 17041 34493 50 50  0  0  0
15  1      0 4382476  71104 1990756    0    0     0    20 16109 32459 55 45  0  0  0
16  0      0 4512504  71128 1990760    0    0     0   148 13560 29837 58 42  0  0  0
15  1      0 4376180  71136 1990688    0    0     0    20 14399 31840 54 46  0  0  0
13  0      0 4337852  71144 1991156    0    0     0    20 17769 37689 50 50  0  0  0
16  2      0 4354320  71236 1991284    0    0     0  2472 15107 37321 52 48  0  0  0
16  0      0 4540440  71244 1990876    0    0     0    20 15503 33478 50 50  0  0  0
13  4      0 4323096  71268 1995516    0    0     4    56 18270 38986 51 49  0  0  0
15  1      0 4439268  71276 1988044    0    0     0    20 15304 33323 54 46  0  0  0
17  0      0 4563456  71284 1988004    0    0     0    20 16392 35147 52 47  1  0  0
17  0      0 4497272  71324 1988492    0    0     0   892 15206 31531 52 48  0  0  0
16  0      0 4493060  71332 1988488    0    0     0    20 14636 30972 54 46  0  0  0
15  2      0 4453660  71340 1988388    0    0     0    20 13817 29969 54 46  0  1  0
17  0      0 4551084  71348 1988676    0    0     0    20 14454 30623 47 53  0  0  0
15  2      0 4378348  71356 1988576    0    0     0    20 20531 40431 49 51  0  0  0
15  1      0 4524228  71372 1983736    0    0     0    52 15975 33821 48 52  0  0  0
15  1      0 4457000  71380 1979676    0    0     0    20 18411 35457 48 51  0  0  0
16  0      0 4330928  71388 1979636    0    0     0    20 15633 31825 50 50  0  0  0
15  1      0 4582988  71396 1979636    0    0     0    20 15377 31127 51 49  0  0  0
16  1      0 4490096  71404 1983180    0    0     0    20 14340 28954 51 49  0  0  0
16  0      0 4268984  71412 1979832    0    0     0    20 19997 40176 49 51  0  0  0
17  0      0 4444740  71420 1979660    0    0     0    20 17433 36027 56 45  0  0  0
19  1      0 4339388  71428 1983352    0    0     0    20 16172 33226 48 52  0  0  0
16  0      0 4342368  71436 1979656    0    0     0    20 15023 32500 56 44  0  0  0
16  0      0 4522588  71444 1979660    0    0     0    40 19359 38850 47 53  0  0  0
18  0      0 4426724  71452 1979972    0    0     0    20 18579 37193 46 54  0  0  0
15  1      0 4381412  71532 1984100    0    0     0   452 15618 34191 50 50  0  0  0
17  0      0 4405788  71540 1984072    0    0     0    20 15475 32951 48 52  0  0  0
13  3      0 4478328  71548 1983900    0    0     0    20 19362 38769 45 55  0  0  0
17  0      0 4386488  71564 1988584    0    0   256    36 18144 38162 54 45  0  0  0
13  3      0 4356592  71572 1988744    0    0     0    20 17440 39821 51 49  0  0  0
16  1      0 4453036  71580 1988744    0    0     0    20 15308 32693 52 47  0  0  0
18  1      0 4282024  71588 1996956    0    0     0    20 16718 37638 54 46  0  0  0
17  0      0 4529720  71596 1988892    0    0     0    20 15841 33362 50 50  0  0  0
17  0      0 4510896  71636 1988972    0    0     0   296 14356 32030 50 50  0  0  0
17  0      0 4593640  71652 1988584    0    0     0    36 17307 35789 54 46  0  0  0
15  1      0 4456088  71668 1988736    0    0     0    32 13734 29310 49 51  0  0  0
15  2      0 4501188  71740 1983392    0    0     0   328 14959 33467 52 48  0  0  0
13  3      0 4385448  71748 1978268    0    0     0    20 17699 36769 56 44  0  0  0
16  0      0 4362044  71756 1978244    0    0     0    20 16465 35815 54 46  0  0  0
14  2      0 4454016  71764 1978156    0    0     0    20 16826 34005 55 45  0  0  0
16  1      0 4464544  71772 1978160    0    0     0    20 19066 37721 52 48  0  0  0
15  2      0 4561812  71788 1978152    0    0     0   136 17370 35753 49 51  0  0  0
17  0      0 4446832  71796 1978160    0    0     0    20 20480 38816 49 51  0  0  0
14  3      0 4560860  71804 1985212    0    0     0    20 18393 39030 54 46  0  0  0
15  1      0 4468904  71812 1974940    0    0     0    20 17114 37377 52 48  0  0  0
